OBJECTID,SUBCOUNTY_NAME,DISTRICT_NAME,POP,Area,S_Yield_Ha,M_Yield_Ha,Crop_Area_Ha,S_Area_Ha,M_Area_Ha,S_Prod_Tot,M_Prod_Tot,S_Prod_Per_Capita,M_Prod_Per_Capita,Land_Use_Efficiency,DPOP,DArea,DCrop_Area_Ha,District Yield,District Crop Area,District Prod
1024,LOPEEI,NAPAK,18815,790782350,108.15641140000001,1053.2571679999999,3120.318045,2121.74732,955.2646167000001,229480.5759,1006139.305,12.196682216316768,53.47538161041722,0.00039458620251198076,167625,4508782023,22944.296019999998,991,22685.734946,7799792
1025,LORENGECORA,NAPAK,2503,118997955,184.0811969,841.8150105000001,1031.196285,672.1218865000001,358.5503345,123725.0013,301833.0535,49.43068369956053,120.58851518178186,0.0008665663918342127,167625,4508782023,22944.296019999998,991,22685.734946,7799792
1026,LOTOME,NAPAK,17834,125857565,128.5555976,507.9070676,1849.966589,1770.358693,78.03589239,227589.5198,39634.98127,12.761552080296065,2.222439232365145,0.0014698890678522185,167625,4508782023,22944.296019999998,991,22685.734946,7799792
1027,MATANY,NAPAK,29495,338252511,130.0076868,497.3532824,2990.847377,2664.7961149999996,288.329571,346443.9786,143401.6585,11.745854504153245,4.861897219867774,0.0008842055209458593,167625,4508782023,22944.296019999998,991,22685.734946,7799792
1028,NAPAK TOWN COUNCIL,NAPAK,8010,150906375,175.828068,725.8139301,792.2492731000001,386.1580327,401.1734419,67897.42082,291177.2726,8.476581875156056,36.35171942571785,0.0005249939063873213,167625,4508782023,22944.296019999998,991,22685.734946,7799792
1029,NGOLERIET,NAPAK,20790,158887552,134.0840894,528.6998225,1215.227445,1145.339875,68.12400511,153571.8541,36017.149410000005,7.386813569023569,1.7324266190476194,0.00076483489719824,167625,4508782023,22944.296019999998,991,22685.734946,7799792
1295,NYAKWAE,ABIM,16470,769609687,329.7590298,779.2250311,792.8987889,342.81683839999994,331.1113402,113046.948,258010.2444,6.863809836065574,15.665467176684881,0.00010302609261465806,90385,2771977106,5470.068394,1489,5125.917826,3394073
1313,LOKOPO,NAPAK,23200,1794470536,120.8622322,748.8298623,6471.047334000001,5830.549392,553.5431231000001,704693.2144,414509.6206,30.374707517241383,17.86679399137931,0.0003606103975618578,167625,4508782023,22944.296019999998,991,22685.734946,7799792
1318,RUPA,MOROTO,41493,2069554899,114.2709211,699.3343089,2217.2907170000003,1989.1195079999998,222.8388813,227298.5184,155838.875,5.477996731978888,3.7557871207191575,0.00010713853099868892,127811,3570160948,5954.814047999999,483,5931.799381999999,1029412
1320,MORUITA,NAKAPIRIPIRIT,16588,839293722,430.5573751,1248.955812,1161.3902289999999,185.2834449,959.6711616,79775.15367999999,1198586.875,4.809208685796961,72.25626205690861,0.0001383770899932932,146780,4216323900,26372.69849,1620,25663.121624,14970688
